名称,面积,朝向,户型,位置,楼层,是否有电梯,建成时间, 门锁,绿化
自如友家·三金鑫城国际聚福苑·4居室-05卧,17.83㎡,朝南,4室1厅,"
小区距2号线范湖站步行约779米
 ",14/31,有,2012年建成,智能门锁,32%
自如友家·汉口城市广场四期·4居室-01卧,14.8㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约514米
 ",25/31,有,2017年建成,智能门锁,35%
自如友家·联投驿园·4居室-05卧,12.5㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约468米
 ",20/32,有,2020年建成,智能门锁,45%
自如友家·融创融公馆·4居室-01卧,12.5㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约775米
 ",26/48,有,2018年建成,智能门锁,35%
自如友家·世茂锦绣长江五期·4居室-01卧,14㎡,朝南,4室1厅,"
小区距6号线马鹦路站步行约714米
 ",21/54,有,2016年建成,智能门锁,40%
自如友家·地铁紫阳城·4居室-05卧,13.3㎡,朝北,4室1厅,"
小区距4号线梅苑小区站步行约274米
 ",22/32,有,2018年建成,智能门锁,20%
自如友家·东湖景园A区·4居室-01卧,17.9㎡,朝北,4室1厅,"
小区距4号线铁机路站步行约922米
 ",6/34,有,2011年建成,智能门锁,35%
自如友家·银泰御华园·5居室-06卧,15.1㎡,朝南,5室1厅,"
小区距3号线兴业路站步行约375米
 ",11/32,有,2015年建成,智能门锁,35%
自如友家·泰合花园·4居室-05卧,19.3㎡,朝南,4室1厅,"
小区距2号线王家墩东站步行约685米
 ",4/11,有,2000年建成,智能门锁,30%
自如友家·金地北辰阅风华·5居室-01卧,18.1㎡,朝南,5室1厅,"
小区距2号线金银潭站步行约1144米
 ",13/17,有,2021年建成,智能门锁,30%
自如友家·群光上苑·4居室-05卧,13.9㎡,朝北,4室1厅,"
小区距2号线街道口站步行约286米
 ",25/30,有,2017年建成,智能门锁,35%
自如友家·联投驿园·5居室-02卧,11.5㎡,朝南,5室1厅,"
小区距11号线光谷六路站步行约191米
 ",4/30,有,2020年建成,智能门锁,45%
自如友家·统建同安家园·4居室-01卧,16.7㎡,朝东,4室1厅,"
小区距3号线后湖大道站步行约346米
 ",6/11,有,2009年建成,智能门锁,47%
自如友家·安顺星苑·5居室-01卧,18.85㎡,朝东,5室1厅,"
小区距4号线楚河汉街站步行约408米
 ",4/12,有,2003年建成,智能门锁,35%
自如友家·同鑫花园·4居室-05卧,18.31㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约544米
 ",16/18,有,2006年建成,智能门锁,35%
自如友家·天成美雅·3居室-03卧,16.9㎡,朝北,3室1厅,"
小区距2号线武汉东站站步行约398米
 ",11/18,有,2015年建成,智能门锁,35%
自如友家·绿地光谷中心城·5居室-01卧,15㎡,朝南,5室1厅,"
小区距11号线光谷五路站步行约369米
 ",4/17,有,2021年建成,智能门锁,35%
自如友家·中建东湖锦城·4居室-01卧,14㎡,朝南,4室1厅,"
小区距2号线黄龙山路站步行约637米
 ",25/33,有,2018年建成,智能门锁,30%
自如友家·琨瑜府·5居室-06卧,18.68㎡,朝南,5室1厅,"
小区距2号线华中科技大学站步行约864米
 ",27/48,有,2019年建成,智能门锁,30%
自如友家·琨瑜府一期·5居室-06卧,17.8㎡,朝南,5室1厅,"
小区距2号线华中科技大学站步行约1007米
 ",10/12,有,2019年建成,智能门锁,30%
自如友家·汉阳人信汇四期天誉·4居室-05卧,15㎡,朝南,4室1厅,"
小区距3号线王家湾站步行约318米
 ",26/48,有,2018年建成,智能门锁,35%
自如友家·世茂锦绣长江四期·3居室-01卧,14.2㎡,朝南,3室1厅,"
小区距6号线马鹦路站步行约200米
 ",55/57,有,2015年建成,智能门锁,40%
自如友家·美联奥林匹克花园二期·4居室-05卧,11㎡,朝南,4室1厅,"
小区距2号线金银潭站步行约683米
 ",18/24,有,2014年建成,智能门锁,30%
自如友家·卧龙剑桥春天·4居室-05卧,15.7㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约298米
 ",7/17,有,2004年建成,智能门锁,35%
自如友家·汉口城市广场·5居室-06卧,14㎡,朝南,5室1厅,"
小区距3号线后湖大道站步行约678米
 ",2/33,有,2018年建成,智能门锁,35%
自如友家·保利心语二期·4居室-01卧,16.42㎡,朝南,4室1厅,"
小区距8号线马湖站步行约417米
 ",5/11,有,2007年建成,智能门锁,35%
自如友家·日月华庭·4居室-05卧,17.7㎡,朝南,4室1厅,"
小区距2号线范湖站步行约1122米
 ",23/31,有,2007年建成,智能门锁,35%
自如友家·南益巴黎豪庭·5居室-01卧,16㎡,朝南,5室1厅,"
小区距2号线光谷大道站步行约428米
 ",5/11,有,2007年建成,智能门锁,38%
自如友家·保利上城·4居室-01卧,12.8㎡,朝西南,4室1厅,"
小区距5号线张家湾站步行约102米
 ",5/30,有,2020年建成,智能门锁,35%
自如友家·福星惠誉福星华府峯境·4居室-05卧,12.73㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约260米
 ",3/44,有,2021年建成,智能门锁,30%
自如友家·蓝湾俊园·4居室-01卧,14.7㎡,朝南,4室1厅,"
小区距5号线昙华林武胜门站步行约638米
 ",2/9,有,2003年建成,智能门锁,40%
自如友家·美联奥林匹克花园二期·4居室-01卧,15.4㎡,朝南,4室1厅,"
小区距2号线金银潭站步行约683米
 ",18/24,有,2014年建成,智能门锁,30%
自如友家·洺悦府·4居室-01卧,16.7㎡,朝南,4室1厅,"
小区距1号线汉西一路站步行约690米
 ",16/44,有,2019年建成,智能门锁,30%
自如友家·东方帝园·4居室-01卧,15.1㎡,朝西,4室1厅,"
小区距2号线汉口火车站站步行约643米
 ",5/11,有,2003年建成,智能门锁,35%
自如友家·新世界常青南园·3居室-03卧,14.7㎡,朝南,3室1厅,"
小区距2号线长港路站步行约324米
 ",7/26,有,2012年建成,智能门锁,35%
自如友家·金融街壹号·5居室-06卧,12㎡,朝南,5室1厅,"
小区距3号线赵家条站步行约256米
 ",21/45,有,2017年建成,智能门锁,35%
自如友家·招商江湾国际·5居室-02卧,15㎡,朝南,5室1厅,"
小区距1号线古田二路站步行约704米
 ",3/33,有,2017年建成,智能门锁,45%
自如友家·紫藤花园·4居室-05卧,22.34㎡,朝南,4室1厅,"
小区距6号线三眼桥站步行约343米
 ",1/7,无,2003年建成,智能门锁,38%
自如友家·鹏程花园·3居室-01卧,17.6㎡,朝南,3室1厅,"
小区距8号线汪家墩站步行约510米
 ",2/14,有,2003年建成,智能门锁,50%
自如友家·国际百纳·4居室-01卧,12.8㎡,朝南,4室1厅,"
小区距8号线中一路站步行约176米
 ",13/46,有,2015年建成,智能门锁,35%
自如友家·磨山港湾·4居室-01卧,14.2㎡,朝南,4室1厅,"
小区距4号线玉龙路站步行约794米
 ",15/45,有,2017年建成,智能门锁,25%
自如友家·新华家园·3居室-01卧,16.5㎡,朝北,3室1厅,"
小区距6号线石桥站步行约589米
 ",11/21,有,2003年建成,智能门锁,30%
自如友家·中建御景星城·4居室-01卧,14.6㎡,朝南,4室1厅,"
小区距3号线宗关站步行约878米
 ",24/47,有,2017年建成,智能门锁,35%
自如友家·锦江国际城·4居室-02卧,14.2㎡,朝南,4室1厅,"
小区距2号线积玉桥站步行约450米
 ",3/28,有,2007年建成,智能门锁,45%
自如友家·光谷汇景·4居室-05卧,14.3㎡,朝南,4室1厅,"
小区距2号线珞雄路站步行约1360米
 ",5/32,有,2018年建成,智能门锁,25%
自如友家·国创光谷上城·4居室-01卧,16.2㎡,朝南,4室1厅,"
小区距11号线湖口站步行约547米
 ",23/33,有,2016年建成,智能门锁,35%
自如友家·塔子湖兴隆苑·5居室-06卧,14.3㎡,朝南,5室1厅,"
小区距8号线塔子湖站步行约285米
 ",6/30,有,2013年建成,智能门锁,30%
自如友家·兴华尚都国际·4居室-01卧,14.8㎡,朝南,4室1厅,"
小区距3号线双墩站步行约654米
 ",28/33,有,2018年建成,智能门锁,30%
自如友家·美联奥林匹克花园二期·4居室-01卧,14.1㎡,朝南,4室1厅,"
小区距2号线金银潭站步行约892米
 ",8/33,有,2014年建成,智能门锁,30%
自如友家·东方时空·3居室-03卧,17.6㎡,朝东,3室1厅,"
小区距2号线循礼门站步行约794米
 ",11/29,有,2003年建成,智能门锁,41%
自如友家·光谷学府·4居室-05卧,17.5㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约1345米
 ",9/33,有,2021年建成,智能门锁,30%
自如友家·星星新城·4居室-01卧,15.8㎡,朝南,4室1厅,"
小区距8号线小洪山站步行约321米
 ",32/32,有,2007年建成,智能门锁,25%
自如友家·安顺家园·3居室-03卧,17.2㎡,朝南,3室1厅,"
小区距4号线楚河汉街站步行约530米
 ",17/18,有,2008年建成,智能门锁,31%
自如友家·武地万科澄园·4居室-05卧,14.8㎡,朝南,4室1厅,"
小区距3号线宗关站步行约797米
 ",39/49,有,2021年建成,智能门锁,35%
自如友家·南益巴黎豪庭·4居室-01卧,16.6㎡,朝南,4室1厅,"
小区距2号线光谷大道站步行约473米
 ",5/11,有,2007年建成,智能门锁,38%
自如友家·华城新都·7居室-02卧,28㎡,朝南,7室1厅,"
小区距2号线光谷广场站步行约897米
 ",11/11,有,2002年建成,智能门锁,35%
自如友家·阳城景园·4居室-01卧,14.2㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约277米
 ",7/11,有,2004年建成,智能门锁,38%
自如友家·保利华都·3居室-01卧,13.23㎡,朝南,3室1厅,"
小区距2号线杨家湾站步行约508米
 ",14/28,有,2012年建成,智能门锁,30%
自如友家·琨瑜府三期·4居室-05卧,14.4㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约818米
 ",15/57,有,2022年建成,智能门锁,30%
自如友家·日月华庭·5居室-01卧,15.42㎡,朝南,5室1厅,"
小区距2号线范湖站步行约1044米
 ",8/31,有,2007年建成,智能门锁,35%
自如友家·狮城名居·4居室-01卧,17.9㎡,朝南,4室1厅,"
小区距8号线马房山站步行约652米
 ",5/13,有,2002年建成,智能门锁,45%
自如友家·中心嘉园·4居室-05卧,13㎡,朝北,4室1厅,"
小区距1号线利济北路站步行约86米
 ",18/30,有,2009年建成,智能门锁,35%
自如友家·福星城市花园·3居室-03卧,13.28㎡,朝南,3室1厅,"
小区距7号线取水楼站步行约942米
 ",9/18,有,2016年建成,智能门锁,34%
自如友家·三阳金城·4居室-01卧,14.65㎡,朝西,4室1厅,"
小区距1号线三阳路站步行约293米
 ",4/32,有,2011年建成,智能门锁,29%
自如友家·美联奥林匹克花园六期·5居室-01卧,13.72㎡,朝南,5室1厅,"
小区距2号线金银潭站步行约671米
 ",18/33,有,2020年建成,智能门锁,30%
自如友家·琨瑜府一期·4居室-05卧,14.8㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约765米
 ",52/58,有,2019年建成,智能门锁,30%
自如友家·琨瑜府一期·4居室-05卧,14.8㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约765米
 ",52/58,有,2019年建成,智能门锁,30%
自如友家·当代国际城·4居室-01卧,15.79㎡,朝南,4室1厅,"
小区距2号线佛祖岭站步行约573米
 ",6/11,有,2017年建成,智能门锁,45%
自如友家·千禧城·4居室-01卧,14.74㎡,朝南,4室1厅,"
小区距1号线古田三路站步行约671米
 ",13/46,有,2019年建成,智能门锁,55%
自如友家·首地云梦台·4居室-01卧,14.2㎡,朝南,4室1厅,"
小区距8号线塔子湖站步行约873米
 ",22/32,有,2021年建成,智能门锁,30%
自如友家·碧桂园云玺·4居室-01卧,16.1㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约712米
 ",3/24,有,2021年建成,智能门锁,30%
自如友家·福星华府誉境·4居室-01卧,14.09㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约835米
 ",4/43,有,2020年建成,智能门锁,30%
自如友家·葛洲坝城市花园·4居室-01卧,16.47㎡,朝西,4室1厅,"
小区距1号线硚口路站步行约614米
 ",4/33,有,2015年建成,智能门锁,35%
自如友家·中建福地星城·4居室-01卧,17.1㎡,朝南,4室1厅,"
小区距8号线文治街站步行约927米
 ",27/32,有,2016年建成,智能门锁,35%
业主原装·统建大江园·北苑·2居室,109㎡,朝南,2室1厅,"
小区距3号线赵家条站步行约124米
 ",7/11,有,2005年建成,智能门锁,43%
自如友家·宇济花园·4居室-05卧,20.24㎡,朝北,4室1厅,"
小区距2号线范湖站步行约366米
 ",2/13,有,2003年建成,智能门锁,36%
自如友家·地铁紫阳城·4居室-03卧,13.1㎡,朝东南,4室1厅,"
小区距4号线梅苑小区站步行约274米
 ",20/32,有,2018年建成,智能门锁,20%
自如友家·融创融公馆·5居室-06卧,15.17㎡,朝南,5室1厅,"
小区距6号线杨汊湖站步行约473米
 ",2/18,有,2018年建成,智能门锁,35%
自如友家·统建大江园南苑·4居室-01卧,17㎡,朝南,4室1厅,"
小区距3号线赵家条站步行约616米
 ",9/11,有,2005年建成,智能门锁,35%
自如友家·英特小区·3居室-03卧,19.7㎡,朝南,3室1厅,"
小区距8号线岳家嘴站步行约748米
 ",3/7,无,2001年建成,智能门锁,32%
自如友家·保利城·3居室-01卧,17.6㎡,朝南,3室1厅,"
小区距4号线铁机路站步行约1393米
 ",3/29,有,2015年建成,智能门锁,35%
自如友家·百瑞景中央生活区六期·5居室-06卧,16.9㎡,朝南,5室1厅,"
小区距2号线宝通寺站步行约1267米
 ",29/42,有,2016年建成,智能门锁,35%
自如友家·琨瑜府三期·4居室-01卧,13㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约818米
 ",38/57,有,2022年建成,智能门锁,30%
自如友家·新澳蓝草坪·3居室-03卧,14.6㎡,朝南,3室1厅,"
小区距3号线龙阳村站步行约360米
 ",14/32,有,2008年建成,智能门锁,36%
自如友家·地铁时代常青城·4居室-05卧,19.6㎡,朝北,4室1厅,"
小区距2号线常青城站步行约800米
 ",4/16,有,2017年建成,智能门锁,30%
自如友家·琨瑜府一期·4居室-01卧,13㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约765米
 ",37/58,有,2019年建成,智能门锁,30%
自如友家·欧洲花园·5居室-02卧,14.33㎡,朝南,5室1厅,"
小区距8号线徐东站步行约585米
 ",10/17,有,2002年建成,智能门锁,30%
自如友家·加州阳光·4居室-01卧,13㎡,朝南,4室1厅,"
小区距2号线珞雄路站步行约333米
 ",23/32,有,2010年建成,智能门锁,42%
自如友家·万科金域时代·4居室-05卧,12.8㎡,朝南,4室1厅,"
小区距3号线香港路站步行约191米
 ",17/33,有,2019年建成,智能门锁,28%
自如友家·福星惠誉福星华府峯境·4居室-01卧,12.5㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约260米
 ",5/44,有,2021年建成,智能门锁,30%
自如友家·铁机盛世家园·4居室-01卧,13.63㎡,朝南,4室1厅,"
小区距4号线园林路站步行约252米
 ",30/30,有,2001年建成,智能门锁,50%
自如友家·中心嘉园·4居室-01卧,17.1㎡,朝南,4室1厅,"
小区距1号线利济北路站步行约631米
 ",10/19,有,2009年建成,智能门锁,35%
自如友家·国际百纳·3居室-02卧,13㎡,朝南,3室1厅,"
小区距8号线中一路站步行约176米
 ",16/46,有,2015年建成,智能门锁,35%
自如友家·泛悦城·4居室-05卧,17㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约993米
 ",5/18,有,2021年建成,智能门锁,30%
自如友家·金地格林小城梦茵区·4居室-01卧,18.34㎡,朝南,4室1厅,"
小区距8号线文昌路站步行约799米
 ",5/11,有,2008年建成,智能门锁,47%
自如友家·世茂锦绣长江五期·4居室-01卧,17.5㎡,朝南,4室1厅,"
小区距6号线马鹦路站步行约841米
 ",33/55,有,2016年建成,智能门锁,40%
自如友家·汉阳人信汇四期天誉·3居室-03卧,13.5㎡,朝南,3室1厅,"
小区距3号线龙阳村站步行约321米
 ",44/46,有,2018年建成,智能门锁,35%
自如友家·保利上城西区·4居室-05卧,16.3㎡,朝南,4室1厅,"
小区距5号线张家湾站步行约768米
 ",31/38,有,2021年建成,智能门锁,30%
自如友家·万科汉口传奇唐樾·5居室-06卧,21.2㎡,朝南,5室1厅,"
小区距6号线唐家墩站步行约932米
 ",39/47,有,2020年建成,智能门锁,35%
自如友家·洺悦府·3居室-01卧,12㎡,朝南,3室1厅,"
小区距1号线汉西一路站步行约496米
 ",10/33,有,2019年建成,智能门锁,30%
自如友家·中建御景星城·4居室-05卧,14.3㎡,朝南,4室1厅,"
小区距1号线太平洋站步行约839米
 ",39/47,有,2017年建成,智能门锁,35%
自如友家·紫藤花园·4居室-05卧,24㎡,朝北,4室1厅,"
小区距6号线三眼桥站步行约563米
 ",5/8,有,2003年建成,智能门锁,38%
自如友家·江山如画五期·4居室-05卧,13.9㎡,朝南,4室1厅,"
小区距6号线武胜路站步行约290米
 ",23/31,有,2016年建成,智能门锁,38%
自如友家·金地国际花园·4居室-05卧,15.1㎡,朝南,4室1厅,"
小区距2号线积玉桥站步行约283米
 ",24/32,有,2012年建成,智能门锁,25%
自如友家·复地东湖国际七期·5居室-03卧,15.1㎡,朝南,5室1厅,"
小区距8号线中南医院站步行约290米
 ",26/32,有,2017年建成,智能门锁,35%
自如友家·江山如画五期·4居室-01卧,12㎡,朝南,4室1厅,"
小区距6号线武胜路站步行约363米
 ",14/31,有,2016年建成,智能门锁,38%
自如友家·康园小区·3居室-03卧,15㎡,朝东,3室1厅,"
小区距2号线光谷广场站步行约762米
 ",12/31,有,2018年建成,智能门锁,28%
业主直租·桃花源·2居室,115.57㎡,朝北,2室1厅,"
小区距11号线光谷七路站步行约1585米
 ",7/18,有,2012年建成,智能门锁,38%
自如友家·新华西美林公馆·4居室-05卧,14.6㎡,朝北,4室1厅,"
小区距2号线范湖站步行约420米
 ",10/17,有,2008年建成,智能门锁,35%
自如友家·中建御景星城·4居室-05卧,11.8㎡,朝南,4室1厅,"
小区距1号线太平洋站步行约341米
 ",30/47,有,2017年建成,智能门锁,35%
自如友家·常青花园十号小区·4居室-01卧,16.9㎡,朝南,4室1厅,"
小区距2号线常青花园站步行约631米
 ",4/7,无,2006年建成,智能门锁,30%
自如友家·绿地光谷中心城·5居室-01卧,14.1㎡,朝南,5室1厅,"
小区距11号线光谷五路站步行约684米
 ",11/41,有,2021年建成,智能门锁,35%
自如友家·光谷188国际社区·4居室-01卧,14.9㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约879米
 ",14/31,有,2018年建成,智能门锁,40%
自如友家·东原时光道·3居室-03卧,14.5㎡,朝东南,3室1厅,"
小区距8号线徐东站步行约778米
 ",9/48,有,2015年建成,智能门锁,30%
自如友家·磨山港湾·3居室-03卧,14.6㎡,朝南,3室1厅,"
小区距4号线玉龙路站步行约361米
 ",23/32,有,2017年建成,智能门锁,25%
自如友家·洺悦府·4居室-01卧,12.5㎡,朝南,4室1厅,"
小区距1号线汉西一路站步行约690米
 ",4/44,有,2019年建成,智能门锁,30%
自如友家·城开玉桥新都·4居室-05卧,16.6㎡,朝东,4室1厅,"
小区距2号线积玉桥站步行约169米
 ",8/23,有,2006年建成,智能门锁,51%
自如友家·联投驿园·4居室-01卧,14㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约208米
 ",31/33,有,2020年建成,智能门锁,45%
自如友家·新地盛世东方·4居室-01卧,13㎡,朝南,4室1厅,"
小区距3号线兴业路站步行约405米
 ",3/18,有,2013年建成,智能门锁,35%
自如友家·黎明新居·4居室-01卧,11.8㎡,朝东南,4室1厅,"
小区距8号线马房山站步行约515米
 ",7/32,有,2016年建成,智能门锁,28%
自如友家·保利花园·4居室-05卧,17.6㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约1136米
 ",18/18,有,2004年建成,智能门锁,35%
自如友家·凯乐桂园·3居室-03卧,11.42㎡,朝南,3室1厅,"
小区距2号线虎泉站步行约273米
 ",12/28,有,2019年建成,智能门锁,40%
自如友家·万科红郡·5居室-01卧,20㎡,朝南,5室1厅,"
小区距2号线秀湖站步行约1428米
 ",6/18,有,2011年建成,智能门锁,40%
自如友家·新地盛世东方·4居室-01卧,14.5㎡,朝东南,4室1厅,"
小区距3号线兴业路站步行约203米
 ",15/18,有,2013年建成,智能门锁,35%
自如友家·锦江国际城·5居室-06卧,15.76㎡,朝西北,5室1厅,"
小区距2号线积玉桥站步行约270米
 ",10/28,有,2007年建成,智能门锁,45%
自如友家·姚家岭新城·3居室-03卧,18㎡,朝南,3室1厅,"
小区距2号线螃蟹岬站步行约1081米
 ",8/42,有,2018年建成,智能门锁,20%
自如友家·中心嘉园·4居室-01卧,17㎡,朝南,4室1厅,"
小区距1号线利济北路站步行约631米
 ",10/19,有,2009年建成,智能门锁,35%
自如友家·地铁时代常青城·4居室-01卧,16.7㎡,朝东,4室1厅,"
小区距2号线常青城站步行约853米
 ",1/16,有,2017年建成,智能门锁,30%
自如友家·姚家岭新城·3居室-03卧,22.3㎡,朝南,3室1厅,"
小区距2号线螃蟹岬站步行约1081米
 ",18/42,有,2018年建成,智能门锁,20%
自如友家·当代国际城·4居室-05卧,14.58㎡,朝南,4室1厅,"
小区距2号线藏龙东街站步行约739米
 ",2/31,有,2017年建成,智能门锁,45%
自如友家·磨山港湾·4居室-01卧,14.9㎡,朝南,4室1厅,"
小区距4号线玉龙路站步行约596米
 ",41/45,有,2017年建成,智能门锁,25%
自如友家·福星惠誉红桥城·5居室-01卧,14.9㎡,朝南,5室1厅,"
小区距21号线(阳逻线)新荣客运站站步行约771米
 ",34/42,有,2016年建成,智能门锁,35%
自如友家·联想江城雅居·4居室-05卧,16.8㎡,朝南,4室1厅,"
小区距2号线黄龙山路站步行约1684米
 ",14/32,有,2020年建成,智能门锁,35%
自如友家·汉阳人信汇四期天誉·5居室-06卧,14.5㎡,朝南,5室1厅,"
小区距3号线王家湾站步行约381米
 ",21/48,有,2018年建成,智能门锁,35%
自如友家·金桥港湾花园·4居室-05卧,15.6㎡,朝南,4室1厅,"
小区距6号线建港站步行约493米
 ",5/18,有,2007年建成,智能门锁,38%
自如友家·中建东湖锦城·4居室-02卧,14.1㎡,朝南,4室1厅,"
小区距2号线黄龙山路站步行约834米
 ",11/33,有,2018年建成,智能门锁,30%
自如友家·新城丽景B区·4居室-05卧,17.5㎡,朝南,4室1厅,"
小区距6号线建港站步行约1687米
 ",23/30,有,2017年建成,智能门锁,20%
自如友家·汉阳人信汇四期天誉·5居室-06卧,14.5㎡,朝南,5室1厅,"
小区距3号线王家湾站步行约381米
 ",33/48,有,2018年建成,智能门锁,35%
自如友家·时代天骄·4居室-01卧,15.7㎡,朝南,4室1厅,"
小区距1号线硚口路站步行约991米
 ",5/18,有,2008年建成,智能门锁,30%
自如友家·中建御景星城·4居室-05卧,12㎡,朝南,4室1厅,"
小区距1号线太平洋站步行约395米
 ",28/33,有,2017年建成,智能门锁,35%
自如友家·福星惠誉国际城三期·3居室-01卧,12.5㎡,朝南,3室1厅,"
小区距8号线汪家墩站步行约268米
 ",17/45,有,2014年建成,智能门锁,30%
自如友家·金梭花园·3居室-01卧,21.9㎡,朝南,3室1厅,"
小区距2号线光谷大道站步行约800米
 ",6/7,无,2002年建成,智能门锁,22%
自如友家·梅苑小区一期·3居室-01卧,15㎡,朝南,3室1厅,"
小区距4号线梅苑小区站步行约306米
 ",2/8,无,1994年建成,智能门锁,30%
自如友家·凤凰花园二期·4居室-05卧,41.8㎡,朝南,4室1厅,"
小区距2号线藏龙东街站步行约785米
 ",6/6,无,2005年建成,智能门锁,30%
自如友家·汉阳城二期云顶·4居室-05卧,12㎡,朝南,4室1厅,"
小区距6号线马鹦路站步行约354米
 ",4/58,有,2021年建成,智能门锁,28%
自如友家·万科城市花园·4居室-01卧,18.6㎡,朝南,4室1厅,"
小区距2号线金融港北站步行约1651米
 ",4/5,无,2004年建成,智能门锁,35%
自如友家·金融街壹号·4居室-05卧,14㎡,朝南,4室1厅,"
小区距3号线赵家条站步行约253米
 ",40/46,有,2017年建成,智能门锁,35%
自如友家·楚天雅苑·3居室-03卧,16.3㎡,朝北,3室1厅,"
小区距5号线张家湾站步行约736米
 ",2/25,有,2021年建成,智能门锁,30%
自如友家·海尔国际广场·4居室-05卧,12.1㎡,朝南,4室1厅,"
小区距1号线古田二路站步行约412米
 ",6/47,有,2017年建成,智能门锁,30%
自如友家·琨瑜府一期·5居室-01卧,15㎡,朝南,5室1厅,"
小区距2号线光谷大道站步行约966米
 ",15/31,有,2019年建成,智能门锁,30%
自如友家·联投驿园·4居室-01卧,13.5㎡,朝南,4室1厅,"
小区距11号线光谷六路站步行约468米
 ",16/32,有,2020年建成,智能门锁,45%
自如友家·地铁汉阳城·4居室-01卧,11.6㎡,朝南,4室1厅,"
小区距4号线汉阳火车站站步行约62米
 ",29/31,有,2019年建成,智能门锁,32%
自如友家·丽水康城·4居室-01卧,15.4㎡,朝南,4室1厅,"
小区距1号线汉西一路站步行约626米
 ",6/11,有,2007年建成,智能门锁,46%
自如友家·琨瑜府三期·4居室-01卧,13㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约582米
 ",53/58,有,2022年建成,智能门锁,30%
自如友家·汉口春天·5居室-03卧,14.3㎡,朝南,5室1厅,"
小区距1号线古田三路站步行约279米
 ",6/6,无,2007年建成,智能门锁,40%
自如友家·高雄小区·3居室-01卧,20㎡,朝南,3室1厅,"
小区距6号线苗栗路站步行约605米
 ",1/7,无,2000年建成,智能门锁,26%
自如友家·泛悦城·4居室-01卧,约15.5㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约636米
 ",8/58,有,2021年建成,智能门锁,30%
自如友家·泛悦城·4居室-05卧,约15.5㎡,朝南,4室1厅,"
小区距2号线华中科技大学站步行约636米
 ",8/58,有,2021年建成,智能门锁,30%
自如友家·英特小区·4居室-05卧,21.79㎡,朝北,4室1厅,"
小区距8号线岳家嘴站步行约755米
 ",4/6,无,2001年建成,智能门锁,32%
自如友家·嘉鑫大厦·4居室-01卧,16.5㎡,朝北,4室1厅,"
小区距2号线青年路站步行约349米
 ",25/27,有,2002年建成,智能门锁,40%
自如友家·福星惠誉汉阳华府·4居室-01卧,14㎡,朝南,4室1厅,"
小区距4号线拦江路站步行约355米
 ",32/38,有,2017年建成,智能门锁,36%
自如友家·卧龙剑桥春天·5居室-01卧,15.9㎡,朝南,5室1厅,"
小区距2号线光谷大道站步行约333米
 ",2/11,有,2004年建成,智能门锁,35%
自如友家·三金雄楚天地·5居室-01卧,13.14㎡,朝南,5室1厅,"
小区距2号线杨家湾站步行约65米
 ",34/44,有,2016年建成,智能门锁,31%
自如友家·大华南湖公园世家一期·3居室-01卧,16.1㎡,朝南,3室1厅,"
小区距8号线文昌路站步行约719米
 ",5/6,无,2014年建成,智能门锁,35%
自如友家·梅苑小区一期·3居室-03卧,12.7㎡,朝南,3室1厅,"
小区距4号线梅苑小区站步行约306米
 ",2/8,无,1994年建成,智能门锁,30%
自如友家·玉带家园·5居室-01卧,14.8㎡,朝南,5室1厅,"
小区距1号线硚口路站步行约467米
 ",29/29,有,2018年建成,智能门锁,20%
自如友家·海尔国际广场·3居室-03卧,13.5㎡,朝南,3室1厅,"
小区距1号线古田二路站步行约715米
 ",46/46,有,2017年建成,智能门锁,30%
自如友家·统建天成美景·4居室-01卧,12.16㎡,朝南,4室1厅,"
小区距2号线武汉东站站步行约275米
 ",27/33,有,2017年建成,智能门锁,35%
自如友家·锦江国际城·4居室-01卧,14.5㎡,朝南,4室1厅,"
小区距2号线积玉桥站步行约450米
 ",3/28,有,2007年建成,智能门锁,45%
自如友家·香江花园一二期·4居室-05卧,24.1㎡,朝北,4室1厅,"
小区距6号线唐家墩站步行约488米
 ",4/8,无,1997年建成,智能门锁,38%
自如友家·江山如画一期·4居室-01卧,14.5㎡,朝南,4室1厅,"
小区距6号线武胜路站步行约709米
 ",21/28,有,2005年建成,智能门锁,20%
